season,year,round,race_name,driver,driverId,constructor,grid_position,finishing_position,points,num_pit_stops,avg_lap_time,avg_tyre_life,track_temp_mid,air_temp_mid,humidity_mid,rainfall_mid,qualiPosition,Q1_time,Q2_time,Q3_time,laps_total,laps_count,lapTime_mean_sec,lapTime_best_sec,lapTime_std_sec,pit_stop_count,pit_total_duration_sec,pit_avg_duration_sec,pit_min_duration_sec,pit_first_lap,pit_last_lap,weather_hours,weather_airTemp_mean,weather_airTemp_min,weather_airTemp_max,weather_humidity_mean,weather_precip_total,weather_pressure_mean,weather_wind_mean,Driver.code,session_type,made_Q2,made_Q3,eliminated_in_Q1,eliminated_in_Q2,eliminated_in_Q3,qualifying_round_reached,pitted,multi_stop,one_stop
2024,2024,2,Saudi Arabian Grand Prix,ALO,alonso,Aston Martin,4,5,10,1,93.869978,25.0,31.5,25.7,61,False,4.0,1:28.706,1:28.122,1:27.846,5.0,5.0,95.5856,94.439,1.712160127,1.0,22.129,22.129,22.129,7.0,7.0,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,ALO,race,True,True,False,False,True,3,True,False,True
2024,2024,2,Saudi Arabian Grand Prix,RUS,russell,Mercedes,7,6,8,1,94.028021,25.0,31.5,25.7,61,False,7.0,1:28.749,1:28.448,1:28.316,5.0,5.0,96.2014,95.033,2.381004893,1.0,21.013,21.013,21.013,7.0,7.0,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,RUS,race,True,True,False,False,True,3,True,False,True
2024,2024,2,Saudi Arabian Grand Prix,BEA,bearman,Ferrari,11,7,6,1,95.316583,25.0,31.5,25.7,61,False,11.0,1:28.984,1:28.642,,5.0,5.0,97.3578,95.515,3.047485061,1.0,22.457,22.457,22.457,7.0,7.0,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,BEA,race,True,False,False,True,False,2,True,False,True
2024,2024,2,Saudi Arabian Grand Prix,NOR,norris,McLaren,6,8,4,1,94.470891,25.0,31.5,25.7,61,False,6.0,1:28.805,1:28.479,1:28.132,5.0,5.0,96.01,94.897,2.193851978,1.0,22.211,22.211,22.211,37.0,37.0,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,NOR,race,True,True,False,False,True,3,True,False,True
2024,2024,2,Saudi Arabian Grand Prix,HAM,hamilton,Mercedes,8,9,2,1,94.617173,25.0,31.5,25.7,61,False,8.0,1:28.994,1:28.606,1:28.460,5.0,5.0,96.4808,95.107,2.481719505,1.0,20.17,20.17,20.17,36.0,36.0,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,HAM,race,True,True,False,False,True,3,True,False,True
2024,2024,2,Saudi Arabian Grand Prix,HUL,hulkenberg,Haas F1 Team,15,10,1,1,95.396478,25.0,31.5,25.7,61,False,15.0,1:29.055,,,5.0,5.0,97.984,95.723,3.316516772,1.0,21.035,21.035,21.035,33.0,33.0,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,HUL,race,False,False,True,False,False,1,True,False,True
2024,2024,2,Saudi Arabian Grand Prix,ALB,albon,Williams,12,11,0,1,96.250645,25.0,31.5,25.7,61,False,12.0,1:29.107,1:28.980,,5.0,5.0,97.6616,95.553,3.432608964,1.0,21.723,21.723,21.723,7.0,7.0,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,ALB,race,True,False,False,True,False,2,True,False,True
2024,2024,2,Saudi Arabian Grand Prix,MAG,kevin_magnussen,Haas F1 Team,13,12,0,1,96.196229,25.0,31.5,25.7,61,False,13.0,1:29.069,1:29.020,,5.0,5.0,97.5164,95.367,3.263183461,1.0,21.46,21.46,21.46,7.0,7.0,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,MAG,race,True,False,False,True,False,2,True,False,True
2024,2024,2,Saudi Arabian Grand Prix,OCO,ocon,Alpine,17,13,0,1,96.557531,24.5,31.5,25.7,61,False,17.0,1:29.475,,,5.0,5.0,98.4108,96.003,3.477557145,1.0,22.502,22.502,22.502,7.0,7.0,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,OCO,race,False,False,True,False,False,1,True,False,True
2024,2024,2,Saudi Arabian Grand Prix,SAR,sargeant,Williams,19,14,0,1,96.562127,24.5,31.5,25.7,61,False,19.0,1:29.526,,,5.0,5.0,98.6994,96.204,3.873006429,1.0,23.645,23.645,23.645,7.0,7.0,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,SAR,race,False,False,True,False,False,1,True,False,True
2024,2024,2,Saudi Arabian Grand Prix,TSU,tsunoda,RB,9,15,0,1,96.560212,24.5,31.5,25.7,61,False,9.0,1:28.988,1:28.564,1:28.547,5.0,5.0,97.2148,95.378,3.028258939,1.0,21.694,21.694,21.694,7.0,7.0,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,TSU,race,True,True,False,False,True,3,True,False,True
2024,2024,2,Saudi Arabian Grand Prix,RIC,ricciardo,RB,14,16,0,1,96.548978,24.5,31.5,25.7,61,False,14.0,1:29.065,1:29.025,,5.0,5.0,98.22,95.699,3.522153603,1.0,0.0,,,7.0,7.0,24.0,23.60416667,18.3,29.2,60.45833333,0.0,1013.479167,17.49583333,RIC,race,True,False,False,True,False,2,True,False,True
