season,year,round,race_name,driver,driverId,constructor,grid_position,finishing_position,points,num_pit_stops,avg_lap_time,avg_tyre_life,track_temp_mid,air_temp_mid,humidity_mid,rainfall_mid,qualiPosition,Q1_time,Q2_time,Q3_time,laps_total,laps_count,lapTime_mean_sec,lapTime_best_sec,lapTime_std_sec,pit_stop_count,pit_total_duration_sec,pit_avg_duration_sec,pit_min_duration_sec,pit_first_lap,pit_last_lap,weather_hours,weather_airTemp_mean,weather_airTemp_min,weather_airTemp_max,weather_humidity_mean,weather_precip_total,weather_pressure_mean,weather_wind_mean,Driver.code
2025,2025,2,Chinese Grand Prix,BOR,bortoleto,Kick Sauber,19.0,14.0,0.0,2,98.133235,27.5,34.6,27.6,17.0,False,19.0,1:32.141,,,5.0,5.0,107.21079999999999,97.965,12.252022331027645,2.0,46.175,23.0875,22.79,1.0,26.0,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,BOR
2025,2025,2,Chinese Grand Prix,HUL,hulkenberg,Kick Sauber,12.0,15.0,0.0,1,99.097207,27.5,34.6,27.6,17.0,False,12.0,1:31.921,1:31.632,,5.0,5.0,102.0482,99.806,4.3965947846032,1.0,22.959,22.959,22.959,20.0,20.0,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,HUL
2025,2025,2,Chinese Grand Prix,TSU,tsunoda,Racing Bulls,9.0,16.0,0.0,3,97.922387,18.33333333333333,34.6,27.6,17.0,False,9.0,1:31.238,1:31.260,1:31.638,5.0,5.0,99.7928,98.74799999999999,2.161023993388324,3.0,83.204,27.734666666666666,22.519,11.0,46.0,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,TSU
2025,2025,2,Chinese Grand Prix,ALO,alonso,Aston Martin,13.0,17.0,0.0,1,101.536,4.0,34.6,27.6,17.0,False,13.0,1:31.719,1:31.688,,4.0,4.0,111.3935,99.256,19.940542662291485,,,,,,,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,ALO
2025,2025,2,Chinese Grand Prix,LEC,leclerc,Ferrari,6.0,18.0,0.0,1,97.411851,28.0,34.6,27.6,17.0,False,6.0,1:31.579,1:31.450,1:31.021,5.0,5.0,98.787,97.648,1.68022781193504,1.0,22.151,22.151,22.151,15.0,15.0,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,LEC
2025,2025,2,Chinese Grand Prix,HAM,hamilton,Ferrari,5.0,19.0,0.0,2,97.02573,28.0,34.6,27.6,17.0,False,5.0,1:31.690,1:31.501,1:30.927,5.0,5.0,98.5412,97.80199999999999,1.2677482794308983,2.0,44.752,22.376,22.364,13.0,37.0,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,HAM
2025,2025,2,Chinese Grand Prix,GAS,gasly,Alpine,16.0,20.0,0.0,1,98.197296,28.0,34.6,27.6,17.0,False,16.0,1:31.992,,,5.0,5.0,100.43979999999999,98.52799999999999,3.169081680865923,1.0,23.138,23.138,23.138,10.0,10.0,24.0,20.0875,13.3,27.8,52.583333333333336,3.4000000000000004,1012.2583333333332,13.1375,GAS
2025,2025,3,Japanese Grand Prix,VER,max_verstappen,Red Bull Racing,1.0,1.0,25.0,1,92.503627,26.5,20.7,14.3,77.0,False,1.0,1:27.943,1:27.502,1:26.983,5.0,5.0,93.9654,93.63900000000001,0.43844075996649423,1.0,24.397,24.397,24.397,21.0,21.0,24.0,11.633333333333333,8.3,15.7,78.79166666666667,7.4,1014.5166666666668,10.15,VER
2025,2025,3,Japanese Grand Prix,NOR,norris,McLaren,2.0,2.0,18.0,1,92.521078,26.5,20.7,14.3,77.0,False,2.0,1:27.845,1:27.146,1:26.995,5.0,5.0,94.2564,93.789,0.8439193089389495,1.0,23.222,23.222,23.222,21.0,21.0,24.0,11.633333333333333,8.3,15.7,78.79166666666667,7.4,1014.5166666666668,10.15,NOR
2025,2025,3,Japanese Grand Prix,PIA,piastri,McLaren,3.0,3.0,15.0,1,92.563098,26.5,20.7,14.3,77.0,False,3.0,1:27.687,1:27.507,1:27.027,5.0,5.0,94.4548,93.699,1.1430899789605362,1.0,23.037,23.037,23.037,20.0,20.0,24.0,11.633333333333333,8.3,15.7,78.79166666666667,7.4,1014.5166666666668,10.15,PIA
